,Period,District,Parameter,MonthlyAverage,PDKnorm
1468,2017-09-01,район Крюково,Диоксид азота,0.0152,0.04
1469,2017-09-01,район Крюково,Озон,0.0178,0.03
1470,2017-09-01,район Аэропорт,Диоксид азота,0.0498,0.04
1471,2017-09-01,Дмитровский район,Диоксид азота,0.0175,0.04
1472,2017-09-01,Дмитровский район,Взвешенные частицы РМ10,0.022,0.04
1473,2017-09-01,район Коптево,Диоксид азота,0.0241,0.04
1474,2017-09-01,Савёловский район,Диоксид азота,0.0634,0.04
1475,2017-09-01,Савёловский район,Озон,0.015,0.03
1476,2017-09-01,Савёловский район,Диоксид серы,0.0061,0.05
1477,2017-09-01,район Сокол,Диоксид азота,0.0307,0.04
1478,2017-09-01,район Южное Медведково,Озон,0.02,0.03
1479,2017-09-01,Останкинский район,Диоксид азота,0.0199,0.04
1480,2017-09-01,Останкинский район,Взвешенные частицы РМ10,0.019,0.04
1481,2017-09-01,Останкинский район,Диоксид серы,0.0026,0.05
1482,2017-09-01,район Хорошёво-Мнёвники,Диоксид азота,0.0368,0.04
1483,2017-09-01,район Хорошёво-Мнёвники,Взвешенные частицы РМ10,0.013,0.04
1484,2017-09-01,район Хорошёво-Мнёвники,Диоксид серы,0.0012,0.05
1485,2017-09-01,район Северное Тушино,Диоксид азота,0.0292,0.04
1486,2017-09-01,поселение Роговское,Диоксид азота,0.01,0.04
1487,2017-09-01,поселение Троицк,Диоксид азота,0.0257,0.04
1488,2017-09-01,поселение Новофедоровское,Диоксид азота,0.0201,0.04
1489,2017-09-01,Басманный район,Диоксид азота,0.033,0.04
1490,2017-09-01,Тверской район,Диоксид азота,0.0377,0.04
1491,2017-09-01,Пресненский район,Диоксид азота,0.0239,0.04
1492,2017-09-01,Пресненский район,Озон,0.023,0.03
1493,2017-09-01,Пресненский район,Взвешенные частицы РМ10,0.023,0.04
1494,2017-09-01,Пресненский район,Диоксид серы,0.0007,0.05
1495,2017-09-01,район Хамовники,Диоксид азота,0.049,0.04
1496,2017-09-01,район Хамовники,Озон,0.0186,0.03
1497,2017-09-01,район Хамовники,Диоксид серы,0.0036,0.05
1498,2017-09-01,район Марьино,Диоксид азота,0.0205,0.04
1499,2017-09-01,район Марьино,Озон,0.0249,0.03
1500,2017-09-01,район Марьино,Диоксид серы,0.0021,0.05
1501,2017-09-01,район Люблино,Диоксид азота,0.016,0.04
1502,2017-09-01,район Люблино,Диоксид серы,0.0029,0.05
1503,2017-09-01,Рязанский район,Взвешенные частицы РМ10,0.014,0.04
1504,2017-09-01,Рязанский район,Диоксид серы,0.003,0.05
1505,2017-09-01,район Печатники,Диоксид азота,0.0327,0.04
1506,2017-09-01,район Печатники,Взвешенные частицы РМ10,0.015,0.04
1507,2017-09-01,район Печатники,Диоксид серы,0.0018,0.05
1508,2017-09-01,район Коньково,Диоксид азота,0.039,0.04
1509,2017-09-01,Академический район,Диоксид азота,0.0276,0.04
1510,2017-09-01,Академический район,Взвешенные частицы РМ10,0.015,0.04
1511,2017-09-01,район Южное Бутово,Взвешенные частицы РМ10,0.02,0.04
1512,2017-09-01,район Южное Бутово,Диоксид серы,0.0023,0.05
1513,2017-09-01,Донской район,Взвешенные частицы РМ10,0.029,0.04
1514,2017-09-01,район Бирюлёво Западное,Диоксид азота,0.0167,0.04
1515,2017-09-01,район Бирюлёво Западное,Диоксид серы,0.0021,0.05
1516,2017-09-01,Донской район,Диоксид азота,0.0407,0.04
1517,2017-09-01,Донской район,Озон,0.012,0.03
1518,2017-09-01,Донской район,Диоксид серы,0.0025,0.05
1519,2017-09-01,район Орехово-Борисово Южное,Диоксид азота,0.0294,0.04
1520,2017-09-01,район Орехово-Борисово Южное,Диоксид серы,0.0029,0.05
1521,2017-09-01,район Царицыно,Диоксид серы,0.0017,0.05
1522,2017-10-01,район Богородское,Диоксид азота,0.0189,0.04
1523,2017-10-01,район Косино-Ухтомский,Диоксид азота,0.0143,0.04
1524,2017-10-01,район Косино-Ухтомский,Диоксид серы,0.0029,0.05
1525,2017-10-01,район Новокосино,Диоксид азота,0.0144,0.04
1526,2017-10-01,район Новокосино,Взвешенные частицы РМ10,0.018,0.04
1527,2017-10-01,район Раменки,Диоксид азота,0.0302,0.04
1528,2017-10-01,район Раменки,Озон,0.0225,0.03
1529,2017-10-01,район Раменки,Взвешенные частицы РМ10,0.013,0.04
1530,2017-10-01,район Раменки,Диоксид серы,0.0026,0.05
1531,2017-10-01,Можайский район,Диоксид азота,0.0376,0.04
1532,2017-10-01,Можайский район,Озон,0.0132,0.03
1533,2017-10-01,район Савёлки,Диоксид азота,0.0108,0.04
1534,2017-10-01,район Силино,Диоксид азота,0.016,0.04
1535,2017-10-01,район Силино,Взвешенные частицы РМ10,0.011,0.04
1536,2017-10-01,район Крюково,Диоксид азота,0.0131,0.04
1537,2017-10-01,район Крюково,Озон,0.0151,0.03
1538,2017-10-01,район Аэропорт,Диоксид азота,0.0466,0.04
1539,2017-10-01,Дмитровский район,Диоксид азота,0.0192,0.04
1540,2017-10-01,Дмитровский район,Взвешенные частицы РМ10,0.014,0.04
1541,2017-10-01,район Коптево,Диоксид азота,0.0269,0.04
1542,2017-10-01,Савёловский район,Диоксид азота,0.0626,0.04
1543,2017-10-01,Савёловский район,Озон,0.0105,0.03
1544,2017-10-01,Савёловский район,Диоксид серы,0.0076,0.05
1545,2017-10-01,район Сокол,Диоксид азота,0.0281,0.04
1546,2017-10-01,район Южное Медведково,Диоксид азота,0.0369,0.04
1547,2017-10-01,район Южное Медведково,Озон,0.0145,0.03
1548,2017-10-01,Останкинский район,Диоксид азота,0.02,0.04
1549,2017-10-01,Останкинский район,Взвешенные частицы РМ10,0.014,0.04
1550,2017-10-01,Останкинский район,Диоксид серы,0.0009,0.05
1551,2017-10-01,район Хорошёво-Мнёвники,Диоксид азота,0.0352,0.04
1552,2017-10-01,район Хорошёво-Мнёвники,Взвешенные частицы РМ10,0.009,0.04
1553,2017-10-01,район Хорошёво-Мнёвники,Диоксид серы,0.001,0.05
1554,2017-10-01,район Северное Тушино,Диоксид азота,0.0283,0.04
1555,2017-10-01,район Северное Тушино,Озон,0.0151,0.03
1556,2017-10-01,поселение Троицк,Диоксид азота,0.023,0.04
1557,2017-10-01,поселение Новофедоровское,Диоксид азота,0.0141,0.04
1558,2017-10-01,Тверской район,Диоксид азота,0.0231,0.04
1559,2017-10-01,Пресненский район,Диоксид азота,0.0237,0.04
1560,2017-10-01,Пресненский район,Озон,0.0159,0.03
1561,2017-10-01,Пресненский район,Взвешенные частицы РМ10,0.016,0.04
1562,2017-10-01,Пресненский район,Диоксид серы,0.0006,0.05
1563,2017-10-01,район Хамовники,Диоксид азота,0.0521,0.04
1564,2017-10-01,район Хамовники,Озон,0.0119,0.03
1565,2017-10-01,район Хамовники,Диоксид серы,0.0034,0.05
1566,2017-10-01,район Марьино,Диоксид азота,0.02,0.04
1567,2017-10-01,район Марьино,Озон,0.0163,0.03
1568,2017-10-01,район Марьино,Диоксид серы,0.0013,0.05
1569,2017-10-01,район Люблино,Диоксид азота,0.0155,0.04
1570,2017-10-01,Рязанский район,Диоксид азота,0.0388,0.04
1571,2017-10-01,Рязанский район,Взвешенные частицы РМ10,0.01,0.04
1572,2017-10-01,Рязанский район,Диоксид серы,0.0042,0.05
1573,2017-10-01,район Печатники,Диоксид азота,0.0383,0.04
1574,2017-10-01,район Печатники,Взвешенные частицы РМ10,0.012,0.04
1575,2017-10-01,район Печатники,Диоксид серы,0.0025,0.05
1576,2017-10-01,район Коньково,Диоксид азота,0.0381,0.04
1577,2017-10-01,Академический район,Диоксид азота,0.0273,0.04
1578,2017-10-01,Академический район,Взвешенные частицы РМ10,0.011,0.04
1579,2017-10-01,район Южное Бутово,Диоксид азота,0.0216,0.04
1580,2017-10-01,район Южное Бутово,Взвешенные частицы РМ10,0.014,0.04
1581,2017-10-01,Донской район,Диоксид азота,0.034,0.04
1582,2017-10-01,Донской район,Озон,0.0161,0.03
1583,2017-10-01,Донской район,Взвешенные частицы РМ10,0.014,0.04
1584,2017-10-01,район Бирюлёво Западное,Диоксид азота,0.0164,0.04
1585,2017-10-01,район Бирюлёво Западное,Диоксид серы,0.0015,0.05
1586,2017-10-01,Донской район,Диоксид азота,0.0413,0.04
1587,2017-10-01,Донской район,Озон,0.0058,0.03
1588,2017-10-01,Донской район,Диоксид серы,0.0021,0.05
1589,2017-10-01,район Орехово-Борисово Южное,Диоксид азота,0.0289,0.04
1590,2017-10-01,район Орехово-Борисово Южное,Диоксид серы,0.0009,0.05
1591,2017-10-01,район Царицыно,Диоксид азота,0.0313,0.04
1592,2017-10-01,район Царицыно,Взвешенные частицы РМ10,0.008,0.04
1593,2017-10-01,район Царицыно,Диоксид серы,0.0017,0.05
1594,2017-11-01,район Новокосино,Диоксид азота,0.0205,0.04
1595,2017-11-01,район Новокосино,Взвешенные частицы РМ10,0.027,0.04
1596,2017-11-01,район Сокол,Диоксид азота,0.0308,0.04
1597,2017-11-01,район Южное Бутово,Диоксид азота,0.0231,0.04
1598,2017-11-01,район Южное Бутово,Взвешенные частицы РМ10,0.014,0.04
1599,2017-11-01,район Косино-Ухтомский,Диоксид азота,0.0272,0.04
1600,2017-11-01,район Косино-Ухтомский,Диоксид серы,0.0031,0.05
1601,2017-11-01,район Тропарёво-Никулино,Диоксид азота,0.0395,0.04
1602,2017-11-01,Можайский район,Диоксид азота,0.043,0.04
1603,2017-11-01,Можайский район,Озон,0.0113,0.03
1604,2017-11-01,поселение Сосенское,Диоксид азота,0.0241,0.04
1605,2017-11-01,Дмитровский район,Диоксид азота,0.0238,0.04
1606,2017-11-01,Дмитровский район,Взвешенные частицы РМ10,0.018,0.04
1607,2017-11-01,район Коптево,Диоксид азота,0.0286,0.04
1608,2017-11-01,район Южное Медведково,Диоксид азота,0.0392,0.04
1609,2017-11-01,район Южное Медведково,Озон,0.0147,0.03
1610,2017-11-01,Останкинский район,Диоксид азота,0.0228,0.04
1611,2017-11-01,Останкинский район,Взвешенные частицы РМ10,0.019,0.04
1612,2017-11-01,Останкинский район,Диоксид серы,0.0008,0.05
1613,2017-11-01,район Хорошёво-Мнёвники,Диоксид азота,0.0374,0.04
1614,2017-11-01,район Хорошёво-Мнёвники,Взвешенные частицы РМ10,0.014,0.04
1615,2017-11-01,район Хорошёво-Мнёвники,Диоксид серы,0.0009,0.05
1616,2017-11-01,район Северное Тушино,Диоксид азота,0.0322,0.04
1617,2017-11-01,район Северное Тушино,Озон,0.0134,0.03
1618,2017-11-01,поселение Троицк,Диоксид азота,0.0217,0.04
1619,2017-11-01,поселение Новофедоровское,Диоксид азота,0.0143,0.04
1620,2017-11-01,Тверской район,Диоксид азота,0.0403,0.04
1621,2017-11-01,Пресненский район,Диоксид азота,0.0249,0.04
1622,2017-11-01,Пресненский район,Озон,0.0142,0.03
1623,2017-11-01,Пресненский район,Взвешенные частицы РМ10,0.021,0.04
1624,2017-11-01,Пресненский район,Диоксид серы,0.0012,0.05
1625,2017-11-01,Рязанский район,Диоксид азота,0.0432,0.04
1626,2017-11-01,Рязанский район,Взвешенные частицы РМ10,0.013,0.04
1627,2017-11-01,Рязанский район,Диоксид серы,0.0046,0.05
1628,2017-11-01,район Печатники,Диоксид азота,0.0409,0.04
1629,2017-11-01,район Печатники,Взвешенные частицы РМ10,0.01,0.04
1630,2017-11-01,район Печатники,Диоксид серы,0.002,0.05
1631,2017-11-01,Академический район,Диоксид азота,0.0326,0.04
1632,2017-11-01,Академический район,Взвешенные частицы РМ10,0.013,0.04
1633,2017-11-01,район Орехово-Борисово Южное,Диоксид азота,0.0325,0.04
1634,2017-11-01,район Орехово-Борисово Южное,Диоксид серы,0.0012,0.05
1635,2017-11-01,район Царицыно,Диоксид азота,0.0223,0.04
1636,2017-11-01,район Царицыно,Взвешенные частицы РМ10,0.009,0.04
1637,2017-11-01,район Царицыно,Диоксид серы,0.0014,0.05
1638,2017-12-01,поселение Сосенское,Диоксид азота,0.0257,0.04
1639,2017-12-01,район Сокол,Диоксид азота,0.0321,0.04
1640,2017-12-01,поселение Троицк,Диоксид азота,0.0242,0.04
1641,2017-12-01,поселение Новофедоровское,Диоксид азота,0.0171,0.04
1642,2017-12-01,поселение Вороновское,Диоксид азота,0.0118,0.04
1643,2017-12-01,район Печатники,Диоксид азота,0.04,0.04
1644,2017-12-01,район Печатники,Взвешенные частицы РМ10,0.009,0.04
1645,2017-12-01,район Печатники,Диоксид серы,0.002,0.05
1646,2017-12-01,район Южное Бутово,Диоксид азота,0.0244,0.04
1647,2017-12-01,район Южное Бутово,Взвешенные частицы РМ10,0.012,0.04
1648,2017-12-01,район Царицыно,Диоксид азота,0.0212,0.04
1649,2017-12-01,район Царицыно,Взвешенные частицы РМ10,0.006,0.04
1650,2017-12-01,район Царицыно,Диоксид серы,0.0014,0.05
1651,2018-01-01,район Богородское,Диоксид азота,0.0176,0.04
1652,2018-01-01,район Косино-Ухтомский,Диоксид азота,0.0194,0.04
1653,2018-01-01,район Косино-Ухтомский,Диоксид серы,0.0023,0.05
1654,2018-01-01,район Новокосино,Диоксид азота,0.038,0.04
1655,2018-01-01,район Новокосино,Взвешенные частицы РМ10,0.017,0.04
1656,2018-01-01,район Раменки,Диоксид азота,0.0123,0.04
1657,2018-01-01,район Раменки,Озон,0.0377,0.03
1658,2018-01-01,район Раменки,Взвешенные частицы РМ10,0.011,0.04
1659,2018-01-01,район Раменки,Диоксид серы,0.0032,0.05
1660,2018-01-01,район Тропарёво-Никулино,Диоксид азота,0.0344,0.04
1661,2018-01-01,Можайский район,Диоксид азота,0.0351,0.04
1662,2018-01-01,Можайский район,Озон,0.0281,0.03
1663,2018-01-01,район Савёлки,Диоксид азота,0.0128,0.04
1664,2018-01-01,район Силино,Диоксид азота,0.0192,0.04
1665,2018-01-01,район Силино,Взвешенные частицы РМ10,0.01,0.04
1666,2018-01-01,район Крюково,Диоксид азота,0.0113,0.04
1667,2018-01-01,район Крюково,Озон,0.0223,0.03
1668,2018-01-01,поселение Сосенское,Диоксид азота,0.0234,0.04
1669,2018-01-01,район Аэропорт,Диоксид азота,0.045,0.04
1670,2018-01-01,Дмитровский район,Диоксид азота,0.0257,0.04
1671,2018-01-01,Дмитровский район,Взвешенные частицы РМ10,0.014,0.04
1672,2018-01-01,район Коптево,Диоксид азота,0.025,0.04
1673,2018-01-01,район Сокол,Диоксид азота,0.0274,0.04
1674,2018-01-01,район Южное Медведково,Диоксид азота,0.0303,0.04
1675,2018-01-01,район Южное Медведково,Озон,0.0269,0.03
1676,2018-01-01,Останкинский район,Диоксид азота,0.0187,0.04
1677,2018-01-01,Останкинский район,Взвешенные частицы РМ10,0.011,0.04
1678,2018-01-01,Останкинский район,Диоксид серы,0.0027,0.05
1679,2018-01-01,район Хорошёво-Мнёвники,Диоксид азота,0.0311,0.04
1680,2018-01-01,район Хорошёво-Мнёвники,Взвешенные частицы РМ10,0.008,0.04
1681,2018-01-01,район Хорошёво-Мнёвники,Диоксид серы,0.0011,0.05
1682,2018-01-01,район Северное Тушино,Диоксид азота,0.0271,0.04
1683,2018-01-01,район Северное Тушино,Озон,0.025,0.03
1684,2018-01-01,поселение Троицк,Диоксид азота,0.0206,0.04
1685,2018-01-01,поселение Новофедоровское,Диоксид азота,0.0126,0.04
1686,2018-01-01,поселение Вороновское,Диоксид азота,0.0104,0.04
1687,2018-01-01,Мещанский район,Диоксид азота,0.0224,0.04
1688,2018-01-01,Мещанский район,Взвешенные частицы РМ10,0.018,0.04
1689,2018-01-01,Мещанский район,Диоксид серы,0.002,0.05
1690,2018-01-01,Тверской район,Диоксид азота,0.0406,0.04
1691,2018-01-01,Пресненский район,Диоксид азота,0.0195,0.04
1692,2018-01-01,Пресненский район,Озон,0.0239,0.03
1693,2018-01-01,Пресненский район,Взвешенные частицы РМ10,0.013,0.04
1694,2018-01-01,Пресненский район,Диоксид серы,0.0035,0.05
1695,2018-01-01,район Хамовники,Диоксид азота,0.0501,0.04
1696,2018-01-01,район Хамовники,Озон,0.0191,0.03
1697,2018-01-01,район Хамовники,Диоксид серы,0.0047,0.05
1698,2018-01-01,район Марьино,Диоксид азота,0.0199,0.04
1699,2018-01-01,район Марьино,Озон,0.0254,0.03
1700,2018-01-01,район Марьино,Взвешенные частицы РМ10,0.015,0.04
1701,2018-01-01,район Марьино,Диоксид серы,0.0022,0.05
1702,2018-01-01,район Люблино,Диоксид азота,0.014,0.04
1703,2018-01-01,район Люблино,Диоксид серы,0.0025,0.05
1704,2018-01-01,Рязанский район,Диоксид азота,0.0428,0.04
1705,2018-01-01,Рязанский район,Взвешенные частицы РМ10,0.011,0.04
1706,2018-01-01,Рязанский район,Диоксид серы,0.0073,0.05
1707,2018-01-01,район Печатники,Диоксид азота,0.0455,0.04
1708,2018-01-01,район Печатники,Взвешенные частицы РМ10,0.011,0.04
1709,2018-01-01,район Печатники,Диоксид серы,0.003,0.05
1710,2018-01-01,район Коньково,Диоксид азота,0.0313,0.04
1711,2018-01-01,Академический район,Диоксид азота,0.0265,0.04
1712,2018-01-01,Академический район,Взвешенные частицы РМ10,0.01,0.04
1713,2018-01-01,район Южное Бутово,Диоксид азота,0.0235,0.04
1714,2018-01-01,район Южное Бутово,Взвешенные частицы РМ10,0.012,0.04
1715,2018-01-01,Донской район,Диоксид азота,0.0312,0.04
1716,2018-01-01,Донской район,Озон,0.0222,0.03
1717,2018-01-01,Донской район,Взвешенные частицы РМ10,0.019,0.04
1718,2018-01-01,Донской район,Диоксид серы,0.0013,0.05
1719,2018-01-01,район Бирюлёво Западное,Диоксид азота,0.0216,0.04
1720,2018-01-01,район Бирюлёво Западное,Диоксид серы,0.0034,0.05
1721,2018-01-01,Даниловский район,Диоксид азота,0.0285,0.04
1722,2018-01-01,Даниловский район,Озон,0.0171,0.03
1723,2018-01-01,Даниловский район,Диоксид серы,0.0029,0.05
1724,2018-01-01,Донской район,Диоксид азота,0.0379,0.04
1725,2018-01-01,Донской район,Озон,0.0204,0.03
1726,2018-01-01,Донской район,Диоксид серы,0.0037,0.05
1727,2018-01-01,район Орехово-Борисово Южное,Диоксид азота,0.0288,0.04
1728,2018-01-01,район Орехово-Борисово Южное,Диоксид серы,0.0036,0.05
1729,2018-01-01,район Царицыно,Диоксид азота,0.0238,0.04
1730,2018-01-01,район Царицыно,Взвешенные частицы РМ10,0.009,0.04
1731,2018-01-01,район Царицыно,Диоксид серы,0.002,0.05
1732,2018-02-01,район Тропарёво-Никулино,Диоксид азота,0.0523,0.04
1733,2018-02-01,район Бирюлёво Западное,Диоксид азота,0.0689,0.04
1734,2018-02-01,район Бирюлёво Западное,Диоксид серы,0.0047,0.05
1735,2018-02-01,район Коньково,Диоксид азота,0.0542,0.04
1736,2018-02-01,Рязанский район,Диоксид азота,0.0627,0.04
1737,2018-02-01,Рязанский район,Взвешенные частицы РМ10,0.015,0.04
1738,2018-02-01,Рязанский район,Диоксид серы,0.0092,0.05
1739,2018-02-01,район Богородское,Диоксид азота,0.0331,0.04
1740,2018-02-01,район Орехово-Борисово Южное,Диоксид азота,0.0478,0.04
1741,2018-02-01,район Орехово-Борисово Южное,Диоксид серы,0.005,0.05
1742,2018-02-01,район Печатники,Взвешенные частицы РМ10,0.016,0.04
1743,2018-02-01,район Печатники,Диоксид азота,0.0694,0.04
1744,2018-02-01,район Печатники,Диоксид серы,0.0051,0.05
1745,2018-02-01,Дмитровский район,Взвешенные частицы РМ10,0.019,0.04
1746,2018-02-01,Дмитровский район,Диоксид азота,0.047,0.04
1747,2018-02-01,район Крюково,Озон,0.017,0.03
1748,2018-02-01,район Крюково,Диоксид азота,0.024,0.04
1749,2018-02-01,район Силино,Диоксид азота,0.041,0.04
1750,2018-02-01,район Силино,Взвешенные частицы РМ10,0.013,0.04
1751,2018-02-01,район Савёлки,Диоксид азота,0.037,0.04
1752,2018-02-01,район Косино-Ухтомский,Диоксид азота,0.034,0.04
1753,2018-02-01,район Косино-Ухтомский,Взвешенные частицы РМ10,0.029,0.04
1754,2018-02-01,район Косино-Ухтомский,Диоксид серы,0.0036,0.05
1755,2018-02-01,Даниловский район,Диоксид азота,0.07,0.04
1756,2018-02-01,Даниловский район,Озон,0.018,0.03
1757,2018-02-01,Даниловский район,Диоксид серы,0.0046,0.05
1758,2018-02-01,район Коптево,Диоксид азота,0.056,0.04
1759,2018-02-01,поселение Новофедоровское,Диоксид азота,0.031,0.04
1760,2018-02-01,район Люблино,Диоксид азота,0.037,0.04
1761,2018-02-01,район Люблино,Диоксид серы,0.002,0.05
1762,2018-02-01,район Аэропорт,Диоксид азота,0.076,0.04
1763,2018-02-01,район Марьино,Взвешенные частицы РМ10,0.02,0.04
1764,2018-02-01,район Марьино,Диоксид азота,0.03,0.04
1765,2018-02-01,район Марьино,Озон,0.029,0.03
1766,2018-02-01,район Марьино,Диоксид серы,0.0031,0.05
1767,2018-02-01,район Раменки,Озон,0.0337,0.03
1768,2018-02-01,район Раменки,Диоксид азота,0.052,0.04
1769,2018-02-01,район Раменки,Диоксид серы,0.0065,0.05
1770,2018-02-01,район Раменки,Взвешенные частицы РМ10,0.018,0.04
1771,2018-02-01,район Южное Бутово,Диоксид азота,0.049,0.04
1772,2018-02-01,район Южное Бутово,Взвешенные частицы РМ10,0.019,0.04
1773,2018-02-01,район Хорошёво-Мнёвники,Взвешенные частицы РМ10,0.014,0.04
1774,2018-02-01,район Хорошёво-Мнёвники,Диоксид азота,0.059,0.04
1775,2018-02-01,район Хорошёво-Мнёвники,Диоксид серы,0.0036,0.05
1776,2018-02-01,район Новокосино,Диоксид азота,0.0475,0.04
1777,2018-02-01,район Новокосино,Взвешенные частицы РМ10,0.019,0.04
1778,2018-02-01,Останкинский район,Диоксид азота,0.039,0.04
1779,2018-02-01,Останкинский район,Взвешенные частицы РМ10,0.019,0.04
1780,2018-02-01,Останкинский район,Диоксид серы,0.0026,0.05
1781,2018-02-01,Донской район,Диоксид азота,0.07,0.04
1782,2018-02-01,Донской район,Озон,0.012,0.03
1783,2018-02-01,Донской район,Диоксид серы,0.0055,0.05
1784,2018-02-01,район Южное Медведково,Диоксид азота,0.0347,0.04
1785,2018-02-01,район Южное Медведково,Озон,0.0213,0.03
1786,2018-02-01,район Царицыно,Диоксид азота,0.0739,0.04
1787,2018-02-01,район Царицыно,Взвешенные частицы РМ10,0.013,0.04
1788,2018-02-01,район Царицыно,Диоксид серы,0.003,0.05
1789,2018-02-01,поселение Сосенское,Диоксид азота,0.0474,0.04
1790,2018-02-01,район Сокол,Диоксид азота,0.0539,0.04
1791,2018-02-01,поселение Вороновское,Диоксид азота,0.0201,0.04
1792,2018-02-01,Пресненский район,Озон,0.0197,0.03
1793,2018-02-01,Пресненский район,Диоксид азота,0.0346,0.04
1794,2018-02-01,Пресненский район,Взвешенные частицы РМ10,0.021,0.04
1795,2018-02-01,Пресненский район,Диоксид серы,0.0063,0.05
1796,2018-02-01,Мещанский район,Диоксид азота,0.0454,0.04
1797,2018-02-01,Мещанский район,Взвешенные частицы РМ10,0.031,0.04
1798,2018-02-01,Мещанский район,Диоксид серы,0.0027,0.05
1799,2018-02-01,Можайский район,Диоксид азота,0.067,0.04
1800,2018-02-01,Можайский район,Озон,0.0237,0.03
1801,2018-02-01,поселение Троицк,Диоксид азота,0.0475,0.04
1802,2018-02-01,район Северное Тушино,Диоксид азота,0.0586,0.04
1803,2018-02-01,район Северное Тушино,Озон,0.019,0.03
1804,2018-02-01,район Хамовники,Диоксид азота,0.0838,0.04
1805,2018-02-01,район Хамовники,Озон,0.0202,0.03
1806,2018-02-01,район Хамовники,Диоксид серы,0.0076,0.05
1807,2018-02-01,Тверской район,Диоксид азота,0.0595,0.04
1808,2018-02-01,Академический район,Взвешенные частицы РМ10,0.016,0.04
1809,2018-02-01,Академический район,Диоксид азота,0.0541,0.04
1810,2018-02-01,Донской район,Диоксид азота,0.0553,0.04
1811,2018-02-01,Донской район,Озон,0.0198,0.03
1812,2018-02-01,Донской район,Взвешенные частицы РМ10,0.016,0.04
1813,2018-02-01,Донской район,Диоксид серы,0.003,0.05
1814,2018-02-01,поселение Щербинка,Диоксид азота,0.0545,0.04
1815,2018-03-01,район Тропарёво-Никулино,Диоксид азота,0.049,0.04
1816,2018-03-01,район Бирюлёво Западное,Диоксид азота,0.058,0.04
1817,2018-03-01,район Бирюлёво Западное,Диоксид серы,0.0042,0.05
1818,2018-03-01,район Коньково,Диоксид азота,0.047,0.04
1819,2018-03-01,Рязанский район,Диоксид азота,0.054,0.04
1820,2018-03-01,Рязанский район,Взвешенные частицы РМ10,0.012,0.04
1821,2018-03-01,Рязанский район,Диоксид серы,0.011,0.05
1822,2018-03-01,район Богородское,Диоксид азота,0.029,0.04
1823,2018-03-01,район Орехово-Борисово Южное,Диоксид азота,0.044,0.04
1824,2018-03-01,район Орехово-Борисово Южное,Диоксид серы,0.0044,0.05
1825,2018-03-01,район Печатники,Диоксид азота,0.061,0.04
1826,2018-03-01,район Печатники,Взвешенные частицы РМ10,0.012,0.04
1827,2018-03-01,район Печатники,Диоксид серы,0.0049,0.05
1828,2018-03-01,Дмитровский район,Диоксид азота,0.038,0.04
1829,2018-03-01,Дмитровский район,Взвешенные частицы РМ10,0.017,0.04
1830,2018-03-01,район Крюково,Диоксид азота,0.025,0.04
1831,2018-03-01,район Крюково,Озон,0.037,0.03
1832,2018-03-01,район Силино,Диоксид азота,0.03,0.04
1833,2018-03-01,район Силино,Взвешенные частицы РМ10,0.012,0.04
1834,2018-03-01,район Савёлки,Диоксид азота,0.032,0.04
1835,2018-03-01,Басманный район,Диоксид азота,0.048,0.04
1836,2018-03-01,район Косино-Ухтомский,Диоксид азота,0.03,0.04
1837,2018-03-01,район Косино-Ухтомский,Диоксид серы,0.0051,0.05
1838,2018-03-01,Даниловский район,Диоксид азота,0.066,0.04
1839,2018-03-01,Даниловский район,Озон,0.0323,0.03
1840,2018-03-01,Даниловский район,Диоксид серы,0.0044,0.05
1841,2018-03-01,район Коптево,Диоксид азота,0.043,0.04
1842,2018-03-01,поселение Новофедоровское,Диоксид азота,0.0275,0.04
1843,2018-03-01,район Люблино,Диоксид азота,0.062,0.04
1844,2018-03-01,район Люблино,Диоксид серы,0.0037,0.05
1845,2018-03-01,район Аэропорт,Диоксид азота,0.083,0.04
1846,2018-03-01,район Марьино,Диоксид азота,0.0273,0.04
1847,2018-03-01,район Марьино,Озон,0.0485,0.03
1848,2018-03-01,район Марьино,Взвешенные частицы РМ10,0.017,0.04
1849,2018-03-01,район Марьино,Диоксид серы,0.0052,0.05
1850,2018-03-01,район Раменки,Диоксид азота,0.047,0.04
1851,2018-03-01,район Раменки,Озон,0.0623,0.03
1852,2018-03-01,район Раменки,Взвешенные частицы РМ10,0.014,0.04
1853,2018-03-01,район Раменки,Диоксид серы,0.0049,0.05
1854,2018-03-01,район Южное Бутово,Диоксид азота,0.0422,0.04
1855,2018-03-01,район Южное Бутово,Взвешенные частицы РМ10,0.019,0.04
1856,2018-03-01,район Хорошёво-Мнёвники,Диоксид азота,0.0544,0.04
1857,2018-03-01,район Хорошёво-Мнёвники,Взвешенные частицы РМ10,0.014,0.04
1858,2018-03-01,Савёловский район,Диоксид азота,0.0894,0.04
1859,2018-03-01,Савёловский район,Озон,0.0315,0.03
1860,2018-03-01,Савёловский район,Диоксид серы,0.0059,0.05
1861,2018-03-01,район Новокосино,Диоксид азота,0.0484,0.04
1862,2018-03-01,район Новокосино,Взвешенные частицы РМ10,0.02,0.04
1863,2018-03-01,Останкинский район,Диоксид азота,0.0286,0.04
1864,2018-03-01,Останкинский район,Взвешенные частицы РМ10,0.014,0.04
1865,2018-03-01,Останкинский район,Диоксид серы,0.0018,0.05
1866,2018-03-01,Донской район,Диоксид серы,0.0622,0.05
